SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Molonghip_Hill,Scoria_cone,-37.4844,144.0377,,,Tholeiite,,45,10800,518,FALSE,7.406912128,13,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,MONVOLC_2,Unknown,-37.2395,144.4372,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,27,10800,518,FALSE,8.250387229,14.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Morton_Hill,Scoria_cone,-37.4237,143.7519,,,,,22,10800,518,FALSE,8.474722414,14.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mossops_Hill,Lava_shield,-37.4056,144.1966,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,37,10800,518,FALSE,9.870642846,17.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Aitken,Lava_shield,-37.5465,144.6424,,,Basaltic trachyandesite,,58,10800,518,FALSE,24.89130012,46.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Beckworth,Scoria_cone,-37.309,143.6738,,,,,58,10800,518,FALSE,10.8132564,19.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Blackwood,Scoria_cone,-37.5572,144.3604,,,Olivine basalt,,110,10800,518,FALSE,19.5957295,35.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Blowhard,Scoria_cone,-37.4529,143.8,,,Hawaiite,,90,10800,518,FALSE,13.98230535,24.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Bullengarook,Scoria_cone,-37.5099,144.4931,,"3.64 ± 0.1, 3.31  ± 0.1",Hawaiite,,150,10800,518,FALSE,17.95232431,32.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Buninyong,Magmatic_Volcanic_Complex,-37.6532,143.9238,,"4, 4.02 +- 0.06","Transitional basalt, Nepheline Hawaiite",,225,10800,518,FALSE,26.97609396,50.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Cameron,Scoria_cone,-37.2008,143.8146,,,K-Rich Hawaiite,,105,10800,518,FALSE,15.37625125,27.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Cavern,Scoria_cone,-37.4104,143.7851,,,,,40,10800,518,FALSE,17.38012006,31.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Consultation,Lava_shield,-37.0983,144.1686,,,Hawaiite,,57,10800,518,FALSE,23.94122105,44.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Darriwill,Scoria_cone,-37.631,144.2764,,,Olivine basalt,,41,10800,518,FALSE,11.42007417,20.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Duntulm,Scoria_cone,-37.2062,143.8556,,,,,70,10800,518,FALSE,17.06648621,30.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Franklin,Magmatic_Volcanic_Complex,-37.2647,144.1498,,0.110 ± 0.014,"K-Nepheline Hawaiite, Nepheline mugearite",,180,10800,518,FALSE,26.83941035,50.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Fraser,Scoria_cone,-37.4616,144.9783,,0.804 +- 0.002,"Trachybasalt, alkali basalt, transitional basalt, tholeiite, Hawaiite",,105,10800,518,FALSE,17.9004566,32.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Gap,Scoria_cone,-37.3346,143.6927,,,,,99,10800,518,FALSE,18.15949047,32.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Gisborne,Magmatic_Volcanic_Complex,-37.5212,144.5904,,4.06,Trachyandesite to trachydacite,,51,10800,518,FALSE,4.232173805,7.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Glasgow,Scoria_cone,-37.2102,143.7532,,,Nepheline Hawaiite,,95,10800,518,FALSE,16.64666484,29.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Gorong,Lava_shield,-37.6081,144.2493,,,Fe-rich olivine basalt,,54,10800,518,FALSE,10.86852534,19.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Greenock,Scoria_cone,-37.201,143.7251,,2.78 +- 0.04,K-Rich Hawaiite,,110,10800,518,FALSE,23.84542867,44.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
