,Volcanic Centre Name,Latitude,Longitude,Hazard Score (raw),Hazard (%),Hazard contrib (%),Exposure Score (raw),Exposure (%),Exposure contrib (%),Vulnerability (raw),Vulnerability (%),Vulnerability contrib (%),Data completeness (raw),Data gap (%),Data gap contrib (%),Final score (0–1),Final score (%)
57,GEOVIC_396,-37.5254,143.9682,0.6798578499850001,3.3992892499250007,0.33992892499250005,3,50.0,17.5,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.38824298017379666,38.82429801737967
58,GEOVIC_40,-37.3913,144.1978,3.215712653985,16.078563269925,1.6078563269925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.4981322912343064,49.81322912343064
59,GEOVIC_41,-37.4292,144.217,2.1648178703850003,10.824089351925,1.0824089351925001,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.48316778027579665,48.316778027579666
60,GEOVIC_416,-37.704,144.07752,1.730752633585,8.653763167925002,0.8653763167925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,3.0,75.0,11.249999999999998,0.4684974540917966,46.84974540917966
61,GEOVIC_432,-37.3523,143.9704,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.4090902173673064,40.90902173673064
62,GEOVIC_44,-37.2581,144.0345,0.6798578499850001,3.3992892499250007,0.33992892499250005,3,50.0,17.5,28.760675577376915,27.768847030893262,11.107538812357305,3.0,75.0,11.249999999999998,0.401974677373498,40.197467737349804
63,GEOVIC_446,-37.2781,143.8814,0.6798578499850001,3.3992892499250007,0.33992892499250005,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.4979530172143064,49.79530172143064
64,GEOVIC_460,-37.3996,143.6597,0.6798578499850001,3.3992892499250007,0.33992892499250005,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.3432298758075323,34.32298758075323
65,GEOVIC_470,-37.3313,143.6837,1.730752633585,8.653763167925002,0.8653763167925,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.3484843497255322,34.84843497255322
66,GEOVIC_471,-37.3341,143.6752,1.730752633585,8.653763167925002,0.8653763167925,5,0.0,0.0,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.26098434972553225,26.098434972553225
67,GEOVIC_475,-37.3691,143.6047,0.6798578499850001,3.3992892499250007,0.33992892499250005,5,0.0,0.0,64.16918901091714,61.95627738112929,24.782510952451716,1.0,91.66666666666666,13.749999999999998,0.3887243987744422,38.87243987744422
68,GEOVIC_513,-37.2364,144.5545,2.907297880585,14.536489402924998,1.4536489402925,2,75.0,26.249999999999996,16.37955701033845,15.814698504914851,6.325879401965941,2.0,83.33333333333334,12.5,0.46529528342258436,46.52952834225844
69,GEOVIC_514,-37.1367,144.513,0.6798578499850001,3.3992892499250007,0.33992892499250005,2,75.0,26.249999999999996,28.760675577376915,27.768847030893262,11.107538812357305,1.0,91.66666666666666,13.749999999999998,0.514474677373498,51.4474677373498
70,GEOVIC_517,-37.1848,144.6625,2.256200025385,11.281000126925,1.1281000126925,3,50.0,17.5,16.37955701033845,15.814698504914851,6.325879401965941,3.0,75.0,11.249999999999998,0.3620397941465844,36.20397941465844
71,GEOVIC_53,-37.2877,144.2376,3.215712653985,16.078563269925,1.6078563269925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5106322912343064,51.063229123430645
