SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes,Recurrence_score,Lahar_Score,PDC_Score,Tephra_Score,Tsunami_Score,Littoral_Score,Total_Hazard_Score
CH,GEOVIC_432,Scoria_cone,-37.3523,143.9704,,,K-Rich Hawaiite,,65.0,10800,518,False,16.69924423,30.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,GEOVIC_44,Scoria_cone,-37.2581,144.0345,,,Basalt,,5.0,10800,518,False,4.004172941,7.0,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_446,Unknown,-37.2781,143.8814,,,Tholeiite to mildly alkalic basalt,,24.0,10800,518,False,7.125016349,12.5,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_460,Scoria_cone,-37.3996,143.6597,,,,,12.0,10800,518,False,7.632170072,13.4,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_470,Scoria_cone,-37.3313,143.6837,,,,,44.0,10800,518,False,10.37037918,18.3,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_471,Scoria_cone,-37.3341,143.6752,,,,,25.0,10800,518,False,10.48121814,18.5,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_475,Unknown,-37.3691,143.6047,,,,,31.5,10800,518,False,7.969610394,14.0,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_513,Lava_shield,-37.2364,144.5545,,,Basalt,,50.0,10800,518,False,18.26288994,33.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,GEOVIC_514,Lava_shield,-37.1367,144.513,,,Basalt,,20.0,10800,518,False,6.560196401,11.5,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_517,Lava_shield,-37.1848,144.6625,,,Basalt,,50.0,10800,518,False,12.40741853,22.0,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
